id,State,Year,National Rank,Female Senate Democrats,Female Senate Republicans,Female Senate Independents,Female Senate Other,Female Senate Total,Total Senate Members,Female House Democrats,Female House Republicans,Female House Independents,Female House Other,Female House Total,Total House Members,Total Females in Legislature,Total Legislature Members,Percentage of Females in Legislature
180,New Jersey,2016.0,11.0,8.0,3.0,0.0,0.0,11.0,40.0,18.0,7.0,0.0,0.0,25.0,80.0,36.0,120.0,30.0
181,New Mexico,2016.0,19.0,4.0,2.0,0.0,0.0,6.0,42.0,13.0,10.0,0.0,0.0,23.0,70.0,29.0,112.0,25.9
182,New York,2016.0,20.0,6.0,5.0,0.0,0.0,11.0,63.0,38.0,5.0,1.0,0.0,44.0,150.0,55.0,213.0,25.8
183,North Carolina,2016.0,30.0,7.0,6.0,0.0,0.0,13.0,50.0,14.0,12.0,0.0,0.0,26.0,120.0,39.0,170.0,22.9
184,North Dakota,2016.0,39.0,4.0,4.0,0.0,0.0,8.0,47.0,11.0,8.0,0.0,0.0,19.0,94.0,27.0,141.0,19.1
185,Ohio,2016.0,22.0,4.0,3.0,0.0,0.0,7.0,33.0,14.0,12.0,0.0,0.0,26.0,99.0,33.0,132.0,25.0
186,Oklahoma,2016.0,47.0,3.0,3.0,0.0,0.0,6.0,48.0,5.0,10.0,0.0,0.0,15.0,101.0,21.0,149.0,14.1
187,Oregon,2016.0,10.0,6.0,2.0,0.0,0.0,8.0,30.0,16.0,4.0,0.0,0.0,20.0,60.0,28.0,90.0,31.1
188,Pennsylvania,2016.0,40.0,4.0,5.0,0.0,0.0,9.0,50.0,15.0,23.0,0.0,0.0,38.0,203.0,47.0,253.0,18.6
189,Rhode Island,2016.0,18.0,9.0,1.0,0.0,0.0,10.0,38.0,18.0,3.0,0.0,0.0,21.0,75.0,31.0,113.0,27.4
190,South Carolina,2016.0,47.0,1.0,1.0,0.0,0.0,2.0,46.0,12.0,10.0,0.0,0.0,22.0,124.0,24.0,170.0,14.1
191,South Dakota,2016.0,33.0,1.0,6.0,0.0,0.0,7.0,35.0,4.0,11.0,0.0,0.0,15.0,70.0,22.0,105.0,21.0
192,Tennessee,2016.0,41.0,2.0,4.0,0.0,0.0,6.0,33.0,7.0,9.0,0.0,0.0,16.0,99.0,22.0,132.0,16.7
193,Texas,2016.0,37.0,2.0,5.0,0.0,0.0,7.0,31.0,16.0,13.0,0.0,0.0,29.0,150.0,36.0,181.0,19.9
194,Utah,2016.0,43.0,3.0,3.0,0.0,0.0,6.0,29.0,7.0,3.0,0.0,0.0,10.0,75.0,16.0,104.0,15.4
195,Vermont,2016.0,2.0,7.0,2.0,0.0,0.0,9.0,30.0,44.0,15.0,3.0,3.0,65.0,150.0,74.0,180.0,41.1
196,Virginia,2016.0,38.0,7.0,2.0,0.0,0.0,9.0,40.0,14.0,4.0,0.0,0.0,18.0,100.0,27.0,140.0,19.3
197,Washington,2016.0,4.0,9.0,8.0,0.0,0.0,17.0,49.0,20.0,13.0,0.0,0.0,33.0,98.0,50.0,147.0,34.0
198,West Virginia,2016.0,44.0,0.0,2.0,0.0,0.0,2.0,34.0,6.0,12.0,0.0,0.0,18.0,100.0,20.0,134.0,14.9
199,Wisconsin,2016.0,20.0,7.0,4.0,0.0,0.0,11.0,33.0,14.0,9.0,0.0,0.0,23.0,99.0,34.0,132.0,25.8
200,Wyoming,2016.0,49.0,1.0,0.0,0.0,0.0,1.0,30.0,3.0,8.0,0.0,0.0,11.0,60.0,12.0,90.0,13.3
201,Alabama,2015.0,46.0,3.0,0.0,1.0,0.0,4.0,35.0,11.0,5.0,0.0,0.0,16.0,105.0,20.0,140.0,14.3
202,Alaska,2015.0,15.0,1.0,0.0,4.0,0.0,5.0,20.0,2.0,10.0,0.0,0.0,12.0,40.0,17.0,60.0,28.3
203,Arizona,2015.0,3.0,6.0,7.0,0.0,0.0,13.0,30.0,11.0,8.0,0.0,0.0,19.0,60.0,32.0,90.0,35.6
204,Arkansas,2015.0,36.0,3.0,4.0,0.0,0.0,7.0,35.0,6.0,14.0,0.0,0.0,20.0,100.0,27.0,135.0,20.0
205,California,2015.0,20.0,8.0,4.0,0.0,0.0,12.0,40.0,11.0,8.0,0.0,0.0,19.0,80.0,31.0,120.0,25.8
206,Colorado,2015.0,1.0,8.0,4.0,0.0,0.0,12.0,35.0,20.0,10.0,0.0,0.0,30.0,65.0,42.0,100.0,42.0
207,Connecticut,2015.0,15.0,8.0,1.0,0.0,0.0,9.0,36.0,25.0,19.0,0.0,0.0,44.0,151.0,53.0,187.0,28.3
208,Deleware,2015.0,28.0,5.0,1.0,0.0,0.0,6.0,21.0,7.0,2.0,0.0,0.0,9.0,41.0,15.0,62.0,24.2
209,Florida,2015.0,23.0,6.0,6.0,0.0,0.0,12.0,40.0,13.0,15.0,0.0,0.0,28.0,120.0,40.0,160.0,25.0
210,Georgia,2015.0,29.0,8.0,2.0,0.0,0.0,10.0,56.0,28.0,18.0,0.0,0.0,46.0,180.0,56.0,236.0,23.7
211,Hawaii,2015.0,13.0,8.0,0.0,0.0,0.0,8.0,25.0,10.0,4.0,0.0,0.0,14.0,51.0,22.0,76.0,28.9
212,Idaho,2015.0,17.0,4.0,6.0,0.0,0.0,10.0,35.0,7.0,12.0,0.0,0.0,19.0,70.0,29.0,105.0,27.6
213,Illinois,2015.0,7.0,12.0,4.0,0.0,0.0,16.0,59.0,32.0,10.0,0.0,0.0,42.0,118.0,58.0,177.0,32.8
214,Indiana,2015.0,34.0,3.0,6.0,0.0,0.0,9.0,50.0,12.0,10.0,0.0,0.0,22.0,100.0,31.0,150.0,20.7
215,Iowa,2015.0,29.0,6.0,1.0,0.0,0.0,7.0,50.0,21.0,6.0,0.0,0.0,27.0,100.0,34.0,150.0,22.7
216,Kansas,2015.0,27.0,4.0,9.0,0.0,0.0,13.0,40.0,11.0,17.0,0.0,0.0,28.0,125.0,41.0,165.0,24.8
217,Kentucky,2015.0,43.0,2.0,2.0,0.0,0.0,4.0,38.0,11.0,8.0,0.0,0.0,19.0,100.0,23.0,138.0,16.7
218,Louisiana,2015.0,50.0,3.0,1.0,0.0,0.0,4.0,39.0,9.0,5.0,0.0,0.0,14.0,105.0,18.0,144.0,12.5
219,Maine,2015.0,12.0,5.0,3.0,0.0,0.0,8.0,35.0,30.0,16.0,0.0,0.0,46.0,151.0,54.0,186.0,29.0
220,Maryland,2015.0,8.0,11.0,2.0,0.0,0.0,13.0,47.0,36.0,11.0,0.0,0.0,47.0,141.0,60.0,188.0,31.9
221,Massachusetts,2015.0,23.0,12.0,0.0,0.0,0.0,12.0,40.0,29.0,9.0,0.0,0.0,38.0,160.0,50.0,200.0,25.0
222,Michigan,2015.0,35.0,1.0,3.0,0.0,0.0,4.0,38.0,17.0,9.0,0.0,0.0,26.0,110.0,30.0,148.0,20.3
223,Minnesota,2015.0,5.0,15.0,8.0,0.0,0.0,23.0,67.0,27.0,18.0,0.0,0.0,45.0,134.0,68.0,201.0,33.8
224,Mississippi,2015.0,41.0,2.0,6.0,0.0,0.0,8.0,52.0,16.0,6.0,0.0,0.0,22.0,122.0,30.0,174.0,17.2
225,Missouri,2015.0,26.0,5.0,1.0,0.0,0.0,6.0,34.0,19.0,24.0,0.0,0.0,43.0,163.0,49.0,197.0,24.9
226,Montana,2015.0,9.0,12.0,6.0,0.0,0.0,18.0,50.0,21.0,8.0,0.0,0.0,29.0,100.0,47.0,150.0,31.3
227,Nebraska*,2015.0,31.0,0.0,0.0,0.0,0.0,11.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,49.0,22.4
228,Nevada,2015.0,6.0,3.0,2.0,0.0,0.0,5.0,21.0,9.0,7.0,0.0,0.0,16.0,42.0,21.0,63.0,33.3
229,New Hampshire,2015.0,14.0,4.0,4.0,0.0,0.0,8.0,24.0,69.0,45.0,0.0,0.0,114.0,400.0,122.0,424.0,28.8
230,New Jersey,2015.0,11.0,8.0,3.0,0.0,0.0,11.0,40.0,16.0,10.0,0.0,0.0,26.0,80.0,37.0,120.0,30.8
231,New Mexico,2015.0,19.0,4.0,3.0,0.0,0.0,7.0,42.0,13.0,10.0,0.0,0.0,23.0,70.0,30.0,112.0,26.8
232,New York,2015.0,20.0,7.0,5.0,0.0,0.0,12.0,63.0,37.0,5.0,1.0,0.0,43.0,150.0,55.0,213.0,25.8
233,North Carolina,2015.0,31.0,7.0,5.0,0.0,0.0,12.0,50.0,14.0,12.0,0.0,0.0,26.0,120.0,38.0,170.0,22.4
234,North Dakota,2015.0,38.0,4.0,4.0,0.0,0.0,8.0,47.0,11.0,8.0,0.0,0.0,19.0,94.0,27.0,141.0,19.1
235,Ohio,2015.0,23.0,4.0,3.0,0.0,0.0,7.0,33.0,13.0,13.0,0.0,0.0,26.0,99.0,33.0,132.0,25.0
236,Oklahoma,2015.0,47.0,3.0,3.0,0.0,0.0,6.0,48.0,5.0,10.0,0.0,0.0,15.0,101.0,21.0,149.0,14.1
237,Oregon,2015.0,10.0,6.0,2.0,0.0,0.0,8.0,30.0,16.0,4.0,0.0,0.0,20.0,60.0,28.0,90.0,31.1
238,Pennsylvania,2015.0,39.0,4.0,5.0,0.0,0.0,9.0,50.0,16.0,23.0,0.0,0.0,39.0,203.0,48.0,253.0,19.0
239,Rhode Island,2015.0,18.0,9.0,1.0,0.0,0.0,10.0,38.0,18.0,3.0,0.0,0.0,21.0,75.0,31.0,113.0,27.4
240,South Carolina,2015.0,47.0,1.0,1.0,0.0,0.0,2.0,46.0,12.0,10.0,0.0,0.0,22.0,124.0,24.0,170.0,14.1
241,South Dakota,2015.0,33.0,1.0,6.0,0.0,0.0,7.0,35.0,4.0,11.0,0.0,0.0,15.0,70.0,22.0,105.0,21.0
242,Tennessee,2015.0,40.0,2.0,4.0,0.0,0.0,6.0,33.0,7.0,10.0,0.0,0.0,17.0,99.0,23.0,132.0,17.4
243,Texas,2015.0,37.0,2.0,5.0,0.0,0.0,7.0,31.0,16.0,13.0,0.0,0.0,29.0,150.0,36.0,181.0,19.9
244,Utah,2015.0,44.0,3.0,3.0,0.0,0.0,6.0,29.0,7.0,3.0,0.0,0.0,10.0,75.0,16.0,104.0,15.4
245,Vermont,2015.0,2.0,7.0,2.0,0.0,0.0,9.0,30.0,47.0,15.0,3.0,0.0,65.0,150.0,74.0,180.0,41.1
246,Virginia,2015.0,42.0,7.0,1.0,0.0,0.0,8.0,40.0,12.0,4.0,0.0,0.0,16.0,100.0,24.0,140.0,17.1
247,Washington,2015.0,4.0,10.0,8.0,0.0,0.0,18.0,49.0,19.0,13.0,0.0,0.0,32.0,98.0,50.0,147.0,34.0
248,West Virginia,2015.0,45.0,0.0,1.0,0.0,0.0,1.0,34.0,6.0,13.0,0.0,0.0,19.0,100.0,20.0,134.0,14.9
249,Wisconsin,2015.0,20.0,7.0,4.0,0.0,0.0,11.0,33.0,14.0,9.0,0.0,0.0,23.0,99.0,34.0,132.0,25.8
250,Wyoming,2015.0,49.0,1.0,0.0,0.0,0.0,1.0,30.0,3.0,8.0,0.0,0.0,11.0,60.0,12.0,90.0,13.3
251,Alabama,2014.0,47.0,4.0,0.0,1.0,0.0,5.0,35.0,9.0,6.0,0.0,0.0,15.0,105.0,20.0,140.0,14.3
252,Alaska,2014.0,17.0,1.0,0.0,3.0,0.0,4.0,20.0,2.0,10.0,0.0,0.0,12.0,40.0,16.0,60.0,26.7
253,Arizona,2014.0,3.0,7.0,6.0,0.0,0.0,13.0,30.0,11.0,8.0,0.0,0.0,19.0,60.0,32.0,90.0,35.6
254,Arkansas,2014.0,42.0,3.0,3.0,0.0,0.0,6.0,35.0,7.0,10.0,0.0,0.0,17.0,100.0,23.0,135.0,17.0
255,California,2014.0,17.0,10.0,2.0,0.0,0.0,12.0,40.0,13.0,7.0,0.0,0.0,20.0,80.0,32.0,120.0,26.7
256,Colorado,2014.0,1.0,11.0,2.0,0.0,0.0,13.0,35.0,18.0,10.0,0.0,0.0,28.0,65.0,41.0,100.0,41.0
257,Connecticut,2014.0,13.0,7.0,1.0,0.0,0.0,8.0,36.0,29.0,18.0,0.0,0.0,47.0,151.0,55.0,187.0,29.4
258,Deleware,2014.0,21.0,5.0,1.0,0.0,0.0,6.0,21.0,8.0,2.0,0.0,0.0,10.0,41.0,16.0,62.0,25.8
259,Florida,2014.0,23.0,6.0,6.0,0.0,0.0,12.0,40.0,16.0,13.0,0.0,0.0,29.0,120.0,41.0,160.0,25.6
260,Georgia,2014.0,28.0,7.0,1.0,0.0,0.0,8.0,56.0,29.0,16.0,0.0,0.0,45.0,180.0,53.0,236.0,22.5
261,Hawaii,2014.0,10.0,8.0,0.0,0.0,0.0,8.0,25.0,12.0,3.0,0.0,0.0,15.0,51.0,23.0,76.0,30.3
262,Idaho,2014.0,17.0,3.0,3.0,0.0,0.0,6.0,35.0,8.0,14.0,0.0,0.0,22.0,70.0,28.0,105.0,26.7
263,Illinois,2014.0,7.0,11.0,4.0,0.0,0.0,15.0,59.0,32.0,10.0,0.0,0.0,42.0,118.0,57.0,177.0,32.2
264,Indiana,2014.0,33.0,3.0,5.0,0.0,0.0,8.0,50.0,13.0,10.0,0.0,0.0,23.0,100.0,31.0,150.0,20.7
265,Iowa,2014.0,27.0,6.0,4.0,0.0,0.0,10.0,50.0,19.0,6.0,0.0,0.0,25.0,100.0,35.0,150.0,23.3
266,Kansas,2014.0,24.0,4.0,9.0,0.0,0.0,13.0,40.0,16.0,13.0,0.0,0.0,29.0,125.0,42.0,165.0,25.5
267,Kentucky,2014.0,37.0,2.0,4.0,0.0,0.0,6.0,38.0,10.0,9.0,0.0,0.0,19.0,100.0,25.0,138.0,18.1
268,Louisiana,2014.0,50.0,3.0,1.0,0.0,0.0,4.0,39.0,10.0,4.0,0.0,0.0,14.0,105.0,18.0,144.0,12.5
269,Maine,2014.0,12.0,8.0,0.0,0.0,0.0,8.0,35.0,34.0,13.0,0.0,0.0,47.0,151.0,55.0,186.0,29.6
270,Maryland,2014.0,10.0,10.0,1.0,0.0,0.0,11.0,47.0,34.0,12.0,0.0,0.0,46.0,141.0,57.0,188.0,30.3
271,Massachusetts,2014.0,25.0,12.0,0.0,0.0,0.0,12.0,40.0,31.0,7.0,0.0,0.0,38.0,160.0,50.0,200.0,25.0
272,Michigan,2014.0,36.0,2.0,2.0,0.0,0.0,4.0,38.0,16.0,8.0,0.0,0.0,24.0,110.0,28.0,148.0,18.9
273,Minnesota,2014.0,4.0,15.0,8.0,0.0,0.0,23.0,67.0,28.0,17.0,0.0,0.0,45.0,134.0,68.0,201.0,33.8
274,Mississippi,2014.0,40.0,2.0,6.0,0.0,0.0,8.0,52.0,16.0,6.0,0.0,0.0,22.0,122.0,30.0,174.0,17.2
275,Missouri,2014.0,29.0,5.0,0.0,0.0,0.0,5.0,34.0,19.0,20.0,0.0,0.0,39.0,163.0,44.0,197.0,22.3
276,Montana,2014.0,15.0,6.0,5.0,0.0,0.0,11.0,50.0,22.0,8.0,0.0,0.0,30.0,100.0,41.0,150.0,27.3
277,Nebraska*,2014.0,35.0,0.0,0.0,0.0,0.0,10.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,49.0,20.4
278,Nevada,2014.0,16.0,3.0,1.0,0.0,0.0,4.0,21.0,11.0,2.0,0.0,0.0,13.0,42.0,17.0,63.0,27.0
279,New Hampshire,2014.0,5.0,6.0,3.0,0.0,0.0,9.0,24.0,98.0,32.0,0.0,0.0,130.0,400.0,139.0,424.0,32.8
280,New Jersey,2014.0,9.0,8.0,3.0,0.0,0.0,11.0,40.0,16.0,10.0,0.0,0.0,26.0,80.0,37.0,120.0,30.8
281,New Mexico,2014.0,14.0,3.0,3.0,0.0,0.0,6.0,42.0,15.0,11.0,0.0,0.0,26.0,70.0,32.0,112.0,28.6
282,New York,2014.0,33.0,7.0,4.0,0.0,0.0,11.0,63.0,29.0,4.0,0.0,0.0,33.0,150.0,44.0,213.0,20.7
283,North Carolina,2014.0,31.0,5.0,5.0,0.0,0.0,10.0,50.0,14.0,13.0,0.0,0.0,27.0,120.0,37.0,170.0,21.8
284,North Dakota,2014.0,39.0,3.0,5.0,0.0,0.0,8.0,47.0,7.0,10.0,0.0,0.0,17.0,94.0,25.0,141.0,17.7
285,Ohio,2014.0,26.0,5.0,3.0,0.0,0.0,8.0,33.0,11.0,12.0,0.0,0.0,23.0,99.0,31.0,132.0,23.5
286,Oklahoma,2014.0,48.0,2.0,2.0,0.0,0.0,4.0,48.0,5.0,11.0,0.0,0.0,16.0,101.0,20.0,149.0,13.4
287,Oregon,2014.0,8.0,5.0,2.0,0.0,0.0,7.0,30.0,15.0,6.0,0.0,0.0,21.0,60.0,28.0,90.0,31.1
288,Pennsylvania,2014.0,38.0,4.0,4.0,0.0,0.0,8.0,50.0,16.0,21.0,0.0,0.0,37.0,203.0,45.0,253.0,17.8
289,Rhode Island,2014.0,20.0,9.0,0.0,0.0,0.0,9.0,38.0,19.0,2.0,0.0,0.0,21.0,75.0,30.0,113.0,26.5
290,South Carolina,2014.0,49.0,0.0,1.0,0.0,0.0,1.0,46.0,11.0,10.0,0.0,0.0,21.0,124.0,22.0,170.0,12.9
291,South Dakota,2014.0,30.0,1.0,5.0,0.0,0.0,6.0,35.0,6.0,11.0,0.0,0.0,17.0,70.0,23.0,105.0,21.9
292,Tennessee,2014.0,43.0,3.0,4.0,0.0,0.0,7.0,33.0,7.0,8.0,0.0,0.0,15.0,99.0,22.0,132.0,16.7
293,Texas,2014.0,32.0,4.0,3.0,0.0,0.0,7.0,31.0,17.0,15.0,0.0,0.0,32.0,150.0,39.0,181.0,21.5
294,Utah,2014.0,45.0,3.0,2.0,0.0,0.0,5.0,29.0,8.0,4.0,0.0,0.0,12.0,75.0,17.0,104.0,16.3
295,Vermont,2014.0,2.0,6.0,2.0,0.0,0.0,8.0,30.0,51.0,12.0,0.0,0.0,63.0,150.0,71.0,180.0,39.4
296,Virginia,2014.0,41.0,6.0,1.0,0.0,0.0,7.0,40.0,12.0,5.0,0.0,0.0,17.0,100.0,24.0,140.0,17.1
297,Washington,2014.0,6.0,10.0,8.0,0.0,0.0,18.0,49.0,21.0,9.0,0.0,0.0,30.0,98.0,48.0,147.0,32.7
298,West Virginia,2014.0,44.0,0.0,1.0,0.0,0.0,1.0,34.0,11.0,10.0,0.0,0.0,21.0,100.0,22.0,134.0,16.4
299,Wisconsin,2014.0,21.0,5.0,4.0,0.0,0.0,9.0,33.0,17.0,8.0,0.0,0.0,25.0,99.0,34.0,132.0,25.8
300,Wyoming,2014.0,46.0,1.0,1.0,0.0,0.0,2.0,30.0,2.0,10.0,0.0,0.0,12.0,60.0,14.0,90.0,15.6
301,Alabama,2013.0,47.0,4.0,0.0,1.0,0.0,5.0,35.0,9.0,5.0,0.0,0.0,14.0,105.0,19.0,140.0,13.6
302,Alaska,2013.0,14.0,1.0,0.0,3.0,0.0,4.0,20.0,3.0,10.0,0.0,0.0,13.0,40.0,17.0,60.0,28.3
303,Arizona,2013.0,3.0,7.0,6.0,0.0,0.0,13.0,30.0,11.0,8.0,0.0,0.0,19.0,60.0,32.0,90.0,35.6
304,Arkansas,2013.0,41.0,3.0,3.0,0.0,0.0,6.0,35.0,7.0,10.0,0.0,0.0,17.0,100.0,23.0,135.0,17.0
305,California,2013.0,19.0,10.0,2.0,0.0,0.0,12.0,40.0,13.0,7.0,0.0,0.0,20.0,80.0,32.0,120.0,26.7
306,Colorado,2013.0,2.0,11.0,2.0,0.0,0.0,13.0,35.0,18.0,10.0,0.0,0.0,28.0,65.0,41.0,100.0,41.0
307,Connecticut,2013.0,11.0,8.0,1.0,0.0,0.0,9.0,36.0,29.0,17.0,0.0,0.0,46.0,151.0,55.0,187.0,29.4
308,Deleware,2013.0,20.0,5.0,1.0,0.0,0.0,6.0,21.0,8.0,2.0,0.0,0.0,10.0,41.0,16.0,62.0,25.8
309,Florida,2013.0,23.0,6.0,6.0,0.0,0.0,12.0,40.0,16.0,13.0,0.0,0.0,29.0,120.0,41.0,160.0,25.6
310,Georgia,2013.0,28.0,7.0,1.0,0.0,0.0,8.0,56.0,29.0,16.0,0.0,0.0,45.0,180.0,53.0,236.0,22.5
311,Hawaii,2013.0,8.0,8.0,0.0,0.0,0.0,8.0,25.0,12.0,3.0,0.0,0.0,15.0,51.0,23.0,76.0,30.3
312,Idaho,2013.0,22.0,2.0,3.0,0.0,0.0,5.0,35.0,8.0,14.0,0.0,0.0,22.0,70.0,27.0,105.0,25.7
313,Illinois,2013.0,7.0,11.0,4.0,0.0,0.0,15.0,59.0,30.0,10.0,0.0,0.0,40.0,118.0,55.0,177.0,31.1
314,Indiana,2013.0,34.0,3.0,5.0,0.0,0.0,8.0,50.0,12.0,11.0,0.0,0.0,23.0,100.0,31.0,150.0,20.7
315,Iowa,2013.0,27.0,6.0,4.0,0.0,0.0,10.0,50.0,19.0,6.0,0.0,0.0,25.0,100.0,35.0,150.0,23.3
316,Kansas,2013.0,25.0,4.0,8.0,0.0,0.0,12.0,40.0,15.0,12.0,0.0,0.0,27.0,125.0,39.0,165.0,23.6
317,Kentucky,2013.0,40.0,2.0,4.0,0.0,0.0,6.0,38.0,10.0,8.0,0.0,0.0,18.0,100.0,24.0,138.0,17.4
318,Louisiana,2013.0,50.0,3.0,1.0,0.0,0.0,4.0,39.0,9.0,4.0,0.0,0.0,13.0,105.0,17.0,144.0,11.8
319,Maine,2013.0,10.0,8.0,0.0,0.0,0.0,8.0,35.0,34.0,13.0,0.0,0.0,47.0,151.0,55.0,186.0,29.6
320,Maryland,2013.0,8.0,10.0,1.0,0.0,0.0,11.0,47.0,34.0,12.0,0.0,0.0,46.0,141.0,57.0,188.0,30.3
321,Massachusetts,2013.0,24.0,12.0,0.0,0.0,0.0,12.0,40.0,32.0,7.0,0.0,0.0,39.0,160.0,51.0,200.0,25.5
322,Michigan,2013.0,36.0,2.0,2.0,0.0,0.0,4.0,38.0,16.0,8.0,0.0,0.0,24.0,110.0,28.0,148.0,18.9
323,Minnesota,2013.0,4.0,15.0,8.0,0.0,0.0,23.0,67.0,28.0,17.0,0.0,0.0,45.0,134.0,68.0,201.0,33.8
324,Mississippi,2013.0,38.0,2.0,6.0,0.0,0.0,8.0,52.0,16.0,7.0,0.0,0.0,23.0,122.0,31.0,174.0,17.8
325,Missouri,2013.0,31.0,5.0,0.0,0.0,0.0,5.0,34.0,19.0,19.0,0.0,0.0,38.0,163.0,43.0,197.0,21.8
326,Montana,2013.0,17.0,5.0,5.0,0.0,0.0,10.0,50.0,23.0,8.0,0.0,0.0,31.0,100.0,41.0,150.0,27.3
327,Nebraska*,2013.0,35.0,0.0,0.0,0.0,0.0,10.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,49.0,20.4
328,Nevada,2013.0,13.0,3.0,1.0,0.0,0.0,4.0,21.0,12.0,2.0,0.0,0.0,14.0,42.0,18.0,63.0,28.6
329,New Hampshire,2013.0,5.0,6.0,3.0,0.0,0.0,9.0,24.0,99.0,34.0,0.0,0.0,133.0,400.0,142.0,424.0,33.5
330,New Jersey,2013.0,12.0,8.0,3.0,0.0,0.0,11.0,40.0,15.0,9.0,0.0,0.0,24.0,80.0,35.0,120.0,29.2
331,New Mexico,2013.0,16.0,3.0,3.0,0.0,0.0,6.0,42.0,15.0,10.0,0.0,0.0,25.0,70.0,31.0,112.0,27.7
332,New York,2013.0,30.0,6.0,4.0,0.0,0.0,10.0,63.0,32.0,5.0,0.0,0.0,37.0,150.0,47.0,213.0,22.1
333,North Carolina,2013.0,31.0,3.0,4.0,0.0,0.0,7.0,50.0,17.0,13.0,0.0,0.0,30.0,120.0,37.0,170.0,21.8
334,North Dakota,2013.0,41.0,3.0,5.0,0.0,0.0,8.0,47.0,7.0,9.0,0.0,0.0,16.0,94.0,24.0,141.0,17.0
335,Ohio,2013.0,26.0,5.0,3.0,0.0,0.0,8.0,33.0,11.0,12.0,0.0,0.0,23.0,99.0,31.0,132.0,23.5
336,Oklahoma,2013.0,48.0,2.0,2.0,0.0,0.0,4.0,48.0,5.0,11.0,0.0,0.0,16.0,101.0,20.0,149.0,13.4
337,Oregon,2013.0,15.0,5.0,2.0,0.0,0.0,7.0,30.0,13.0,5.0,0.0,0.0,18.0,60.0,25.0,90.0,27.8
338,Pennsylvania,2013.0,38.0,5.0,3.0,0.0,0.0,8.0,50.0,16.0,21.0,0.0,0.0,37.0,203.0,45.0,253.0,17.8
339,Rhode Island,2013.0,19.0,9.0,0.0,0.0,0.0,9.0,38.0,19.0,2.0,0.0,0.0,21.0,75.0,30.0,113.0,26.5
340,South Carolina,2013.0,49.0,0.0,1.0,0.0,0.0,1.0,46.0,11.0,10.0,0.0,0.0,21.0,124.0,22.0,170.0,12.9
341,South Dakota,2013.0,28.0,1.0,5.0,0.0,0.0,6.0,35.0,6.0,12.0,0.0,0.0,18.0,70.0,24.0,105.0,22.9
342,Tennessee,2013.0,43.0,3.0,4.0,0.0,0.0,7.0,33.0,7.0,8.0,0.0,0.0,15.0,99.0,22.0,132.0,16.7
343,Texas,2013.0,33.0,4.0,3.0,0.0,0.0,7.0,31.0,16.0,15.0,0.0,0.0,31.0,150.0,38.0,181.0,21.0
344,Utah,2013.0,46.0,3.0,2.0,0.0,0.0,5.0,29.0,8.0,4.0,0.0,0.0,12.0,75.0,17.0,104.0,16.3
345,Vermont,2013.0,1.0,7.0,2.0,0.0,0.0,9.0,30.0,49.0,12.0,0.0,0.0,65.0,150.0,74.0,180.0,41.1
346,Virginia,2013.0,37.0,5.0,1.0,0.0,0.0,6.0,40.0,12.0,7.0,0.0,0.0,19.0,100.0,25.0,140.0,17.9
347,Washington,2013.0,6.0,10.0,8.0,0.0,0.0,18.0,49.0,20.0,9.0,0.0,0.0,29.0,98.0,47.0,147.0,32.0
348,West Virginia,2013.0,45.0,0.0,1.0,0.0,0.0,1.0,34.0,11.0,10.0,0.0,0.0,21.0,100.0,22.0,134.0,16.4
349,Wisconsin,2013.0,20.0,5.0,4.0,0.0,0.0,9.0,33.0,17.0,8.0,0.0,0.0,25.0,99.0,34.0,132.0,25.8
350,Wyoming,2013.0,43.0,1.0,1.0,0.0,0.0,2.0,30.0,2.0,11.0,0.0,0.0,13.0,60.0,15.0,90.0,16.7
351,Alabama,2012.0,47.0,4.0,0.0,1.0,0.0,5.0,35.0,9.0,5.0,0.0,0.0,14.0,105.0,19.0,140.0,13.6
352,Alaska,2012.0,21.0,1.0,0.0,3.0,0.0,4.0,20.0,4.0,7.0,0.0,0.0,11.0,40.0,15.0,60.0,25.0
353,Arizona,2012.0,4.0,4.0,7.0,0.0,0.0,11.0,30.0,7.0,12.0,0.0,0.0,19.0,60.0,30.0,90.0,33.3
354,Arkansas,2012.0,31.0,5.0,3.0,0.0,0.0,8.0,35.0,11.0,11.0,0.0,0.0,22.0,100.0,30.0,135.0,22.2
355,California,2012.0,13.0,9.0,3.0,0.0,0.0,12.0,40.0,16.0,6.0,0.0,0.0,22.0,80.0,34.0,120.0,28.3
356,Colorado,2012.0,1.0,14.0,3.0,0.0,0.0,17.0,35.0,14.0,9.0,0.0,0.0,23.0,65.0,40.0,100.0,40.0
357,Connecticut,2012.0,9.0,8.0,1.0,0.0,0.0,9.0,36.0,32.0,15.0,0.0,0.0,47.0,151.0,56.0,187.0,29.9
358,Deleware,2012.0,17.0,4.0,3.0,0.0,0.0,7.0,21.0,7.0,2.0,0.0,0.0,9.0,41.0,16.0,62.0,25.8
359,Florida,2012.0,19.0,7.0,7.0,0.0,0.0,14.0,40.0,12.0,15.0,0.0,0.0,27.0,120.0,41.0,160.0,25.6
360,Georgia,2012.0,27.0,8.0,1.0,0.0,0.0,9.0,56.0,30.0,17.0,0.0,0.0,47.0,180.0,56.0,236.0,23.7
